id,abstract,content,s_content,t_content,img,ref,click,share,good,edittime,tag,items,lemmaID,editor_goodVersionCount,editor_commitPassedCount,editor_level,editor_featuredLemmaCount,editor_createPassedCount,editor_commitTotalCount,editor_experience,editor_passRatio,flag
464,86,12220,8,8,5,5,7942591,596,8976,62,2,18,2068378,20.44,479549,4.68,15.68,7268.04,534755,343604000,80.08,1
477,336,8517,7,2,3,3,768512,49,1374,46,1,1,93417,8.76,170504,3.72,2.72,1442.48,196885,1671.12,77.24,1
486,174,3876,5,4,0,3,73252,18,42,19,5,3,2001077,2331.26,267530,6.73684,480.737,4495.47,302370,121206,91.9474,1
511,307,14000,6,2,21,151,4334202,268,2053,238,4,2,3780255,28.44,174116,6.6,26.04,1937.2,200699,16261.8,92.2,1
516,169,1481,10,2,30,20,415982,0,440,80,6,2,4369923,177.4,245535,7.12,176.76,3825.44,273450,171843000,87.84,1
598,135,2873,8,2,0,10,928087,16,1019,72,3,6,1214191,179.84,186594,9.36,142.16,8225.6,213101,73052.2,96.2,1
613,85,1180,6,4,0,9,12245480,222,6974,134,6,7,8259100,157.52,244552,8.64,146.52,3753.08,272469,171837000,91.32,1
617,621,8871,13,23,8,20,2910343,215,279,55,1,2,2884040,63.36,185850,8.32,53.36,4705.72,212566,38004.7,89.2,1
623,267,3985,10,4,6,8,2122239,302,2535,117,2,3,95972,182.72,344814,6.36,115.64,5127.76,397557,40821.5,88.52,1
626,111,4107,4,8,0,7,2195193,108,7602,174,2,10,96019,1752.8,177789,7.36,360.2,4166.24,204155,92344.2,93.36,1
642,173,2329,4,0,0,6,1384146,146,2410,87,4,1,10294898,1754.52,277453,5.48,362.4,5554.24,305390,171886000,77.4,1
685,235,1940,9,4,30,15,5800265,1069,5521,397,6,21,16916,1.76,540732,8.12,0.88,9325.64,597081,515423000,91.68,1
717,132,2150,8,4,0,12,1117697,37,1168,56,4,3,97411,77.08,174178,5.68,67.84,2111.88,200598,18838.5,85.24,1
746,343,14981,7,14,15,125,5280627,537,5162,262,3,2,97915,421.32,355136,8.08,425.68,14246.5,408076,82454,82.92,1
781,493,14707,12,13,19,43,5267909,678,17458,687,3,12,40588,138.08,511095,5.88,87.76,4391.96,589943,14498.3,88.6,1
784,263,6306,6,4,0,8,621664,36,733,55,2,1,98550,40.32,406279,5.32,34.12,5127.24,460215,171809000,82.08,1
822,516,13798,13,31,30,76,4115558,202,3325,578,2,22,131547,14.96,521299,6.56,13.88,8823.72,600403,25559.6,84.44,1
824,183,10146,10,15,3,26,3239543,291,9917,362,2,1,99272,200.96,170796,4.68,49.64,1546.92,197167,14246.6,90.48,1
846,404,7834,12,28,4,19,5548630,218,7624,268,2,1,99647,1.4,173054,2.72,1.68,1472.52,199404,1399.72,85.56,1
893,247,6091,10,7,7,6,2145760,180,3178,204,3,8,200112,30.56,340829,4.6,21.72,3035.12,393411,5951.08,87.12,1
909,187,9327,7,4,1,14,2161907,128,4909,65,4,8,2252675,1014.6,35566.4,12.12,782.8,1308.56,36287,241784,92.28,1
912,123,3738,8,4,10,2,3053265,187,1677,104,2,6,113252,41.04,518325,5.56,31.2,4692.04,597500,9613.12,82.88,1
958,315,17175,7,10,7,9,6526709,4667,9022,303,4,34,899,35.08,2859.72,6.76,36.24,39.6,2989.36,11938.2,95.48,1
984,183,5115,7,12,7,11,3451345,824,2555,163,2,4,34712,8.36,579082,5.04,6.96,7368.48,659191,171804000,89.04,1
1027,170,3189,6,4,2,10,1107951,159,1608,49,2,13,2692350,544.96,237705,6.68,184.52,4092.2,265279,171841000,90.08,1
1031,131,3399,6,4,21,18,6330551,192,4197,58,6,14,10796861,54.56,412305,6.08,54.16,5091.36,466267,171811000,87.24,1
1045,224,14284,12,4,2,11,1272431,111,682,62,1,3,1416088,33.64,170686,3.92,13.48,1494.36,197033,5578.96,89.8,1
1103,239,4567,8,6,4,10,5651066,614,3940,285,2,2,103964,97.84,418112,5.48,60.32,6400.64,472170,171823000,77.16,1
1116,342,7273,6,8,7,18,2370343,205,589,40,1,1,304608,73.76,589306,5.36,50.12,6750.2,669625,171814000,83.68,1
1122,360,19967,8,8,29,90,5440994,439,5758,137,5,6,13411,190.72,185068,8.24,188.72,1573.52,211823,40379.6,89.24,1
1130,438,7398,5,8,9,23,4688788,1131,12495,324,0,9,9131,13.56,510414,5.72,15.12,4694.48,589492,6031.64,83.08,1
1138,204,3324,5,4,6,16,4101205,356,8829,295,0,1,104551,47.24,513751,4.08,48.68,4419.2,592748,9698.96,88.04,1
1153,469,14826,11,29,24,43,5198022,323,5671,258,1,1,104792,3.8,349236,6.48,2.92,6801.28,402008,18511.5,86.08,1
1158,645,8182,8,12,30,188,24848241,132,68305,1446,6,1,104887,34.72,512750,5.76,33.64,4643.16,591702,8476.92,87,1
1166,123,915,5,2,3,8,4776972,305,12964,269,1,1,105027,18.24,404764,4.44,15.44,5007.12,458589,171803000,85.36,1
1180,194,2118,9,4,0,12,12667666,206,25679,82,6,14,9283471,111.6,406653,5.16,108.6,5036.8,460529,171818000,87.28,1
1190,678,8069,6,14,6,73,1738298,139,881,277,1,11,4648778,38.32,189156,7.52,32.32,1638.52,215718,21546.7,93.72,1
1216,435,13941,10,10,13,22,23938246,7865,78183,1504,6,3,238,607,434064,9.72,468.52,5810.68,488409,171942000,89.36,1
1221,669,5775,5,11,30,69,16731613,390,57576,707,1,3,105997,0,341563,6.36,0.08,2884.52,394558,5211.32,81.84,1
1222,261,5504,6,2,7,18,9403908,1363,55906,949,2,1,106017,488.92,527366,7.96,375.6,5027.28,606605,114759,85.04,1
1225,634,17913,13,29,30,158,6492044,286,5782,728,3,2,106072,48.84,684793,6.92,49.36,7191.72,790020,17944.1,89,1
1226,471,8803,13,19,21,35,5395164,339,4418,559,0,4,406,16.96,521297,6.52,9.88,8100.04,600361,25323.1,86.96,1
1229,334,12655,15,26,8,31,1479756,104,1419,277,1,5,71895,13.68,418857,7.4,11.68,9369.04,472949,171825000,86.68,1
1239,539,11571,7,10,11,60,8471033,2061,32712,414,2,29,434,818.04,29799.5,10.96,823.96,21434.3,30231.4,159275,97.24,1
1242,389,17199,10,19,7,36,6130372,288,7027,717,5,1,4256767,2.68,170814,5.08,2.76,1458.48,197156,3434.32,91.36,1
1252,144,11632,6,6,10,9,2582292,238,5699,190,5,1,106484,161.56,416333,7.56,52.16,5384.68,470555,171821000,88.76,1
1255,452,3044,5,4,0,65,10830022,327,9859,477,4,1,106537,130.32,343375,7.72,117.16,3245.52,395991,27160.6,91.64,1
1261,349,2229,6,3,14,16,3925941,707,22396,205,3,1,106649,75.96,575615,5.36,19.16,6762.44,655734,171806000,85.4,1
1262,55,55,7,13,10,24,5525541,770,9124,351,2,3,106669,65.04,747680,5.68,62.72,8049.12,854116,171813000,85.64,1
1264,648,14285,7,16,9,111,11682806,644,10194,771,11,1,106709,19.72,513862,5.2,19.24,4584.8,592885,9299.72,79.52,1
1267,631,16429,14,36,29,105,19408618,1901,24362,2794,2,4,106764,3.24,347420,6.52,0.84,5961.12,400204,19895.4,90.88,1
1268,499,11399,9,16,15,25,1106036,94,336,83,1,3,1787482,496.92,189742,9.08,503.52,14390.8,216390,98849.7,85.76,1
1275,122,2213,8,5,0,25,6126093,54,2871,61,6,3,16856390,82.52,408319,5.96,82.96,5075.4,462215,171815000,88.32,1
1281,253,1804,9,0,8,9,3213425,140,1545,100,3,7,855089,24.76,541541,8.88,10.2,7226.12,621321,74045.7,91.4,1
1295,330,9792,12,26,7,25,4016647,183,2125,368,2,1,107238,209.72,348680,8.76,203.32,4321.24,401416,45017.2,93.52,1
1299,392,11422,11,34,15,9,701488,48,487,112,1,3,8520568,32.84,245424,6.96,32.56,5885.24,273162,171819000,88.84,1
1323,690,5213,6,13,30,96,26745870,220,37979,641,3,1,107686,73.56,350626,7.44,71.56,4781.64,403331,30475.1,91.16,1
1328,120,2611,8,4,0,9,1258850,24,1316,36,4,4,1138156,204.04,418954,7.4,187.76,5269.96,473214,171844000,91.56,1
1336,548,9262,8,8,12,23,3212661,1769,5183,254,2,4,198987,470.08,190466,8.64,475.68,14705.9,217221,96531.8,84.44,1
1368,349,7071,7,10,16,43,754395,43,489,182,12,1,4375146,190.48,180787,8.28,184.84,2264.24,207402,44605.2,87.48,1
1392,291,1738,7,3,30,30,9022110,71,17476,267,4,1,108877,33.48,679783,4.36,33.44,5738.04,784930,4697.24,78.36,1
1415,186,3122,9,7,0,9,5609701,137,7774,144,6,6,3309472,235.8,375012,8.68,196.76,8711.16,405386,515456000,90.44,1
1435,499,20510,9,18,19,11,2857927,135,5221,485,4,1,6580300,37.12,180889,7.48,27.44,3100.92,207422,22676.1,93.32,1
1468,604,21159,15,35,22,34,5968185,381,5451,919,0,1,110166,26.68,518516,6.28,17.6,7347.04,597607,18002.8,89.4,1
1471,635,15153,7,16,13,128,15289549,897,23147,1295,11,1,110221,96.84,186228,7.8,69.44,2749.16,212921,37865.6,92.72,1
1477,304,2187,9,3,1,7,1472198,191,1998,83,1,1,110338,1553.12,412996,5.28,473.84,7732.08,467054,171907000,78.88,1
1480,370,9736,11,6,4,5,3265622,1532,9673,239,1,7,1961,2063.92,247572,5.68,625.76,7146.28,275386,171942000,77.88,1
1483,327,6248,8,7,3,10,445052,112,714,85,2,1,110428,3091,314769,7.72,935.8,11253.3,343946,343813000,89,1
1484,217,5110,11,6,7,11,2408131,282,6426,302,2,3,36241,29.8,950294,6.8,24.8,15407.7,1060560,687208000,85.88,1
1489,624,9892,7,15,7,35,4007357,212,2189,202,0,2,8451763,499.4,347236,6.04,134.08,3572.36,400042,35145.2,79.64,1
1490,424,10374,5,12,14,17,166495,5,28,15,1,1,17553364,37.2,283859,6.86667,38.8,2645.67,327781,14021.5,88.2667,1
1503,399,19406,9,21,15,84,11795807,806,4103,379,2,25,8180423,581.56,180994,7,194.12,2390.12,207684,56531.8,85.12,1
1508,356,3832,6,10,30,70,13617582,223,24509,1093,5,2,110856,105.6,344246,9,106.56,3041.28,397194,26372.6,90.56,1
1510,159,14294,7,21,9,28,9787537,1470,27340,301,1,5,1076,47.16,363483,5.12,37.24,3172.48,416408,12600.2,85.04,1
1513,327,9471,8,13,11,27,4153223,560,4091,229,2,4,110918,62.8,256558,8.76,64.96,7721.96,284544,171843000,91.96,1
1534,342,13162,9,14,8,10,8167107,565,8711,585,9,3,111288,0,507463,2.88,0.12,4258.6,586241,-2756.32,79.04,1
1554,582,20289,14,49,30,116,32431659,3085,65706,1456,3,5,111617,65.92,512112,5.96,66.52,4736.2,591061,14888.1,83.72,1
1563,627,19933,7,21,30,23,18112704,1122,23335,1041,11,1,111764,69.2,352837,8.04,68.92,4133.64,405661,32768.6,91.6,1
1565,644,17254,6,17,17,57,10273219,593,12053,744,13,1,111790,14.4,523238,6.72,9.76,6215.96,602463,26042.5,87,1
1577,563,7423,7,8,30,88,10754200,2647,34178,1347,3,2,111957,29.76,183330,7.04,28.16,8971.96,209858,14844.4,92.36,1
1588,747,10921,7,13,0,190,26529371,41377,206570,415,5,18,112148,59.84,176901,8.36,55.92,2182.84,203271,19637,97.48,1
1591,397,16281,7,15,14,151,13084339,1970,24469,1158,4,1,112204,28.64,29835,10.28,23.8,9834.64,30323,63792,98.32,1
1600,306,10919,8,14,26,34,14661653,888,5468,601,1,3,8138,9,175100,5.24,7.88,2377.96,201555,8292.4,91.88,1
1602,245,6564,13,13,9,24,411183,16,210,69,1,3,7649490,79.32,415933,6.36,17.2,6289.68,470008,171817000,78.8,1
1603,290,9536,6,28,5,31,261996,45,590,61,3,1,112398,40.92,712935,6.8,11.48,11189.7,795709,515406000,74,1
1605,291,4947,7,9,9,18,1183393,96,310,44,1,3,7420939,39.52,314961,7.24,31.32,7488.64,344044,343621000,89.52,1
1607,293,4135,7,0,14,25,509960,49,692,84,2,1,415831,30.12,575387,6.16,25.84,9400.52,632656,515409000,82.48,1
1631,238,18991,8,14,10,6,1201306,449,2661,121,1,5,24736,24.52,509162,5,12.92,4572.6,588071,4743.44,76.48,1
1642,380,6733,7,2,2,17,2378710,215,2939,38,1,7,4959517,470.2,172231,4.84,128.36,1930.4,198595,29423.6,83.12,1
1646,458,15707,10,26,20,41,18293447,2192,29916,882,2,9,6109,3506.4,348936,7.16,722.16,6831.24,401548,171812,87.4,1
1648,703,7692,6,16,8,34,21285731,2014,35663,690,5,6,21768,21.12,348380,6,16.72,3354.92,401240,9764.56,86.48,1
1649,410,1883,9,6,5,12,84763,44,253,35,3,1,113154,89.56,746117,6.04,60.36,8132.96,852552,171813000,81.76,1
1654,123,3738,8,4,10,2,3052472,187,1677,104,2,1,113252,41.04,518327,5.56,31.2,4691.8,597499,9611.52,82.76,1
1655,204,5690,7,17,6,20,2393626,623,4738,212,1,4,21765,73.56,344541,6.28,61.44,2916.12,397160,18011.9,87.76,1
1657,529,19378,9,26,15,72,4881532,11404,19561,316,5,1,113297,70.64,344822,5.68,72.28,2983.32,397546,19944.7,89.6,1
1662,355,12666,8,9,14,12,1053469,1604,3459,80,1,1,113379,119.76,658164,7.64,77.68,9390.44,739960,343630000,89.48,1
1663,591,15804,9,16,24,18,6002894,927,10735,321,2,3,113399,38.16,719522,6.2,26.4,10918.8,802431,515406000,81.48,1
1675,165,6516,7,18,10,20,8909403,764,4736,258,4,4,113605,58.72,624264,7.08,40.88,11779.1,682225,687213000,84.84,1
1676,339,6930,8,2,4,17,4482118,392,4837,106,3,33,2411327,162.12,191075,6.52,149.6,1924.88,217827,42315.5,86.08,1
1678,676,4869,7,10,21,143,15034125,230,6928,510,5,1,113653,90.08,349918,8.08,86.6,4340,402841,41801.3,86.92,1
1679,413,5783,7,12,6,33,7864938,1651,20386,473,0,24,3622,0,338239,2.12,0.08,2839,390773,-1846.56,79.72,1
1690,612,20054,11,32,26,251,17310534,1425,15691,942,6,8,25626,11.72,507978,2.2,12.52,4281.4,586790,353.8,63.88,1
1702,335,2066,7,2,30,17,2818076,68,3959,113,3,1,4924594,218.4,778416,8.56,209.08,12991.2,862494,687240000,88.84,1
1703,523,2532,6,2,30,26,2967768,125,2468,123,3,1,4299635,193.8,651122,7.6,186.04,9093.36,732697,343640000,88.64,1
1709,499,20510,9,18,19,11,2857932,135,5221,485,4,1,6580300,37.12,180889,7.48,27.44,3100.92,207422,22676.1,93.32,1
1716,428,11374,9,27,18,80,10004132,491,11725,561,1,1,114302,244.92,514576,7.8,166,4463.44,593425,35551,88.4,1
1717,265,9934,7,21,5,18,7794618,1041,43561,470,3,1,114319,17.88,511579,5.32,17.96,4627.84,590546,7137.96,84.04,1
1718,282,6892,8,11,10,19,11298008,1953,57190,835,2,5,114339,101,520243,5.84,77.52,4642.8,599331,24094.4,85.92,1
1719,518,20036,8,37,11,113,24802042,3437,52299,1326,1,27,6772,489.32,513555,5.84,127.32,4979.88,592574,33629.6,80.6,1
1723,194,20186,13,32,11,12,7629661,821,5074,324,3,6,6226,0.6,412466,4.92,0.44,5106.76,466618,171802000,86.96,1
1729,343,343,7,11,6,37,2905036,125,4072,223,4,1,114516,19.96,511422,5.12,22.64,4615.28,590372,5224.8,83.28,1
1730,328,9231,8,17,6,4,3204290,167,5970,357,1,1,114535,0.44,169391,3.4,0.68,1430.96,195677,309.96,85.36,1
1732,194,4453,7,7,9,10,2051273,1277,4019,110,4,7,1326,17.6,473418,6.48,16.28,7289,528782,343606000,86.2,1
1735,627,20907,13,40,26,91,33443986,4672,52348,2652,0,5,114606,29.72,171934,5.56,28.32,1468.88,198441,8059.52,89.28,1
1736,102,797,6,2,0,22,1433667,40,603,23,1,11,17705120,75,191993,7.13043,75.6522,2950.39,220724,22871.2,89.3913,1
1737,398,4682,8,13,1,5,4131088,522,9273,193,2,14,9779247,3099.24,185449,6.52,941.56,6793.16,212101,213703,91.56,1
1753,370,7722,8,24,14,22,21935175,5283,103302,968,5,9,5569,36.2,529606,8.32,35.28,8517.04,609052,28357.4,88.28,1
1758,713,11124,7,15,30,238,107018456,717,90847,2387,6,10,114923,9.04,511486,5.12,8.76,5266.76,590430,6154.84,86.44,1
1759,347,13329,6,26,15,21,5584974,641,6979,294,1,3,274,46,261198,7.12,31.44,5132.2,289524,171828000,90.88,1
1761,365,11273,12,14,17,46,7985245,22266,43485,467,2,16,7702,40.4,345725,5.92,36.72,3777.88,398493,21465.2,88.08,1
1797,307,3369,6,10,5,12,1937693,71,1539,22,3,20,2812623,77.0909,283283,6.36364,11.1818,4436,314960,195239000,85.9545,1
1807,336,6270,8,6,12,19,3691189,182,4787,207,4,2,115748,33.4,578825,6.12,26.12,7005.44,659162,171812000,85.04,1
1825,352,13648,5,20,11,7,8293339,976,6099,225,3,2,116047,45.44,344261,5.4,27.08,3132.4,396942,11005.6,89.2,1
1827,407,6978,8,12,14,24,10878513,415,6441,425,4,1,116084,14.44,411263,5.28,15.2,5052.56,465310,171806000,88.88,1
1836,281,3195,5,8,8,10,1167430,385,1377,53,3,1,116239,55,586873,5.8,51.16,6869.04,667204,171814000,83.72,1
1840,294,8918,7,8,20,28,9349253,1053,7745,266,2,4,34635,0.04,170160,3.52,0.04,1439.64,196629,761.56,80,1
1878,499,2962,7,3,30,61,7341894,1099,5970,277,4,153,8137,20.8,816498,6.08,18.64,10573,924223,343608000,81.24,1
1881,252,1834,8,2,3,28,2437001,43,1098,47,3,58,4364354,386.4,354467,8.72,362.32,3157.76,407395,79267,88.96,1
1924,391,7131,8,11,16,20,2870643,400,8596,69,3,1,117799,118.68,522119,7.28,101.24,5367.52,601182,29108.8,90.8,1
1931,637,11904,7,22,14,113,18138281,1146,20256,974,3,1,86964,48.44,356825,8.12,42.96,7616.64,409651,33838.6,93.48,1
1938,304,17619,7,6,19,25,2846412,143,3220,381,4,1,4606239,27.44,7452.52,7.08,26.4,440.12,7698.04,14699.7,92.68,1
1943,157,1854,8,7,0,20,2985493,195,134,83,2,15,15942447,26,179581,6.88,26.04,1606.68,206065,11312.8,94.76,1
1948,357,4576,9,5,16,21,2241669,87,5459,291,2,4,118194,40.16,412023,6.64,40.24,5152.16,466089,171811000,89,1
1963,234,13822,6,4,4,13,1780933,177,3295,214,2,1,118453,467.96,551290,6.8,113.32,9939.24,607915,515424000,78.8,1
1966,293,9372,6,13,21,5,3168121,169,20532,305,3,4,65857,34.52,341550,5.72,31.56,3062.92,394233,13068.2,88.44,1
1980,214,5678,8,3,9,29,634592,71,167,48,3,1,118749,20.84,596116,5.28,19,6466.96,676482,171804000,83.56,1
1981,553,4241,8,6,7,18,7805565,860,15195,685,2,12,62298,17.52,581924,5.68,13.16,6585.2,662164,171804000,81.92,1
1982,596,5776,8,18,12,12,2048678,173,1111,168,0,21,9447215,0.04,339400,3.12,0.12,2891.44,391990,-180.8,79.84,1
1990,343,7564,7,7,14,12,288558,38,390,68,1,2,118905,83.04,513787,5.16,44.76,4938.72,592734,12764.9,83.4,1
1995,331,6777,6,11,7,11,1371398,204,1944,169,3,2,119000,20.96,644475,5.52,19.84,8924.92,726013,343605000,81.8,1
1997,305,11015,7,10,7,21,3476533,229,5957,222,2,2,119039,98.76,179999,5.88,76.36,1616,206576,22957.8,92.4,1
1998,302,12849,8,4,5,13,2286015,190,4469,135,2,1,119058,105.4,518741,6.04,88.76,4654.4,597783,18011.8,84.36,1
1999,470,16958,9,24,11,53,7551595,676,10395,364,3,2,119077,128.92,177127,7.76,136.44,1685,203669,41655.8,91.72,1
2003,570,15765,8,32,11,58,2405043,145,3357,248,1,1,119131,128.92,180355,8.68,136.44,1661.44,207003,46553.6,94.56,1
2004,310,16062,8,35,11,165,33095146,6748,189213,2377,2,6,36231,15.4,339687,4.8,13.84,2900.84,392301,2946.44,87.32,1
2008,461,13251,9,12,17,41,3057157,219,3568,212,2,1,119206,4.48,510998,4.36,2.24,4519.12,590038,960.04,81.28,1
2011,347,12169,6,10,10,16,638655,80,925,129,1,1,119263,94.12,587754,6.88,79.2,6816.16,668116,171818000,87.16,1
2016,328,9984,6,2,9,10,2426739,12,322,56,4,1,119360,60.72,411967,6.04,48.8,5297.6,466019,171814000,86,1
2018,270,11334,6,23,14,22,491573,96,981,110,1,1,119397,0,341223,3.88,0.08,2852.92,394010,-548.36,79.68,1
2019,332,18521,8,10,8,12,543909,112,1002,108,2,1,119418,38.88,522290,5.92,36.36,4781.32,601459,13400.8,87.76,1
2021,386,6089,7,13,10,30,9998433,4117,26423,624,2,1,119453,66.32,344746,5.4,54.48,3212.64,397497,18439,88.92,1
2024,309,11839,7,15,13,50,4904732,310,7307,310,3,1,119499,86.96,519116,7.16,88.16,4559.16,598186,24850.2,89,1
2029,501,9665,7,17,10,28,1229503,115,1710,90,2,1,119595,56.8,513306,5.64,54.28,5104.24,592241,18204.2,88.72,1
2035,283,10585,9,5,14,19,2126422,201,2776,138,1,1,119696,141.08,183599,7.8,127.2,2200.92,210277,34023.8,90.72,1
2038,324,12945,8,13,8,21,1953551,147,3165,184,1,1,119755,13.8,472889,5.76,13.12,7418.04,528135,343607000,85.12,1
2041,362,3816,6,5,7,21,8640021,858,12109,307,2,1,119811,6.44,511433,5,7.24,4691.6,590364,4726.8,84.04,1
2064,243,8598,10,10,3,14,2726715,300,2224,209,3,1,412851,23.8,242019,5.36,13.12,3615.4,269827,171807000,86.92,1
2070,107,866,5,0,2,6,1121484,16,3685,21,1,2,10449499,145.857,686012,5.80952,104.095,7798,781400,204548000,75.6667,1
2075,597,7248,5,6,19,45,16275789,1776,40325,882,6,2,83241,11.64,694251,6.48,11.16,9956.36,799752,23429.1,83.12,1
2076,107,3899,4,0,4,15,1200963,137,1574,184,2,1,120371,21.32,173286,3.12,13.84,1530.32,199694,5743.64,77.32,1
2078,544,20090,12,26,10,197,8209345,905,13927,609,3,3,120396,5.36,677644,3.88,5.28,5681.2,782825,-2236.8,86.72,1
2091,424,4959,7,5,0,69,5864907,25,7868,356,4,1,120592,335.68,513728,8.68,322.64,4324.12,592609,52758.8,88.04,1
2093,328,7420,8,11,5,7,15290259,192,65114,36,4,8,5129500,161,421583,6.8,72.32,5334.44,475666,171835000,81.2,1
2098,619,8852,11,2,3,13,5008612,1658,13172,305,0,10,280,133.48,478650,7.48,74.6,7343.48,533898,343615000,87.6,1
2119,326,13510,12,10,22,37,10845287,2085,36053,528,3,6,60649,481.56,365045,9.04,484.92,16200.4,418034,97141,88.8,1
2120,548,14754,9,9,9,6,6430495,629,22317,618,4,6,975277,0,169417,2.32,0.04,1434.44,195728,-198.32,86,1
2122,272,7197,7,9,9,9,2047336,344,5950,260,4,1,121104,2.16,507798,3.72,1.84,4311.32,586588,-1705.48,87.32,1
2124,349,11614,8,27,20,138,1448040,428,6669,226,4,1,38436,525.52,345553,6.44,152.2,3504.08,398242,36033.1,89.64,1
2125,252,2873,6,2,4,15,4137560,597,9825,268,2,2,18067,46.04,511848,6.12,26.96,5048.76,590843,13024.6,86.08,1
2126,212,2208,6,6,6,13,6719259,291,7025,199,1,1,121151,96.44,346212,6.04,74.16,3606.52,398971,22363.5,86,1
2127,647,21510,9,16,15,122,15027068,897,14446,540,3,1,121170,25.6,515918,6.64,25.84,5883.36,595047,14416.5,84.84,1
2128,573,9219,8,10,11,21,3173455,1745,14040,269,4,4,841,40.44,519096,4.76,38.4,4408.16,598109,8122.28,78.96,1
2131,382,4943,5,9,6,9,2690781,480,10052,355,6,4,121228,82.8,512635,6.72,63.36,4322.64,591560,14934,90.76,1
2133,287,20181,9,28,14,8,29299138,4458,71247,1596,4,20,1043,10.08,340001,5,10.88,2865.4,392641,2992.76,85.72,1
2135,354,2166,5,0,3,21,1705354,83,3939,204,2,2,121292,72.52,588745,7.2,27.76,10780.9,669078,171832000,87.8,1
2136,202,5182,7,5,2,14,18111266,1256,27820,242,1,4,1364178,84.48,184346,5.88,67.76,1922.36,211020,21870.2,88.76,1
2137,234,7220,6,7,8,28,17302035,1155,24957,497,3,15,44982,2280.12,524180,8.16,535.04,6924.48,603170,124482,89.16,1
2138,229,11094,6,12,8,13,1766272,211,6021,207,3,1,802941,37.32,174205,5.56,36.2,1707.16,200745,15867.8,91.76,1
2140,465,9552,6,2,5,13,2232997,576,1730,21,1,1,18670474,783.095,246332,11.6667,594.762,11370.4,278410,191525,92.4286,1
2141,660,15281,9,17,13,52,28718913,2243,35374,655,3,3,1044,60.52,352146,7.16,17.44,5898.4,404979,24943.5,91,1
2142,250,3116,8,8,1,10,683373,40,4700,133,8,1,2656602,37.8,347218,6,29.76,3076.52,400123,10925.6,79.64,1
2153,162,3886,6,13,7,8,2759748,1511,4886,148,3,30,1365,89.64,262629,6.92,73.4,3784.08,290982,171821000,86.84,1
2154,410,18719,15,35,25,59,7572075,419,4271,741,0,3,121593,2.72,683621,3.36,1.72,8536.76,788750,11471.8,86.16,1
